"text","year","month","day","hour","created","source","favoriteCount","retweetCount","picture","exclamation","hashtag"
"The American dream is back. We’re going to create an environment for small business like we haven’t had in many, ma… https://t.co/Bh7SrNEgz1",2017,1,30,16,2017-01-30 21:07:52,"iPhone",179353,35174,"Picture/link","No","No"
"Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?",2017,1,30,9,2017-01-30 14:23:49,"iPhone",166027,33269,"No picture/link","No","No"
"I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.)",2017,1,30,8,2017-01-30 13:43:25,"Android",129066,25502,"No picture/link","No","No"
"If the ban were announced with a one week notice, the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",2017,1,30,8,2017-01-30 13:31:00,"Android",174399,36082,"No picture/link","Yes","No"
"There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!",2017,1,30,7,2017-01-30 12:27:05,"Android",176095,35795,"No picture/link","Yes","No"
"protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!",2017,1,30,7,2017-01-30 12:20:49,"Android",136145,24507,"No picture/link","Yes","No"
"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage,.....",2017,1,30,7,2017-01-30 12:16:30,"Android",132906,31579,"No picture/link","No","No"
"I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!",2017,1,29,18,2017-01-29 23:39:53,"iPhone",68474,11231,"No picture/link","Yes","No"
"Statement Regarding Recent Executive Order Concerning Extreme Vetting: https://t.co/f6JO60I0Ul",2017,1,29,18,2017-01-29 23:28:50,"iPhone",70112,17254,"Picture/link","No","No"
"...Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III.",2017,1,29,16,2017-01-29 21:49:32,"Android",172876,42826,"No picture/link","No","No"
"The joint statement of former presidential candidates John McCain &amp; Lindsey Graham is wrong - they are sadly weak on immigration. The two...",2017,1,29,16,2017-01-29 21:45:58,"Android",109234,24234,"No picture/link","No","No"
"Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!",2017,1,29,10,2017-01-29 15:03:58,"Android",227372,60209,"No picture/link","Yes","No"
"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!",2017,1,29,8,2017-01-29 13:08:18,"Android",222493,51361,"No picture/link","Yes","No"
"Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!",2017,1,29,8,2017-01-29 13:00:32,"Android",113987,22691,"Picture/link","Yes","No"
"Today, we remember the crew of the Space Shuttle Challenger, 31 years later. #NeverForget https://t.co/OhshQsFRfl",2017,1,28,10,2017-01-28 15:42:58,"iPhone",172116,33005,"Picture/link","No","Yes"
"...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course, and never will. DISHONEST",2017,1,28,8,2017-01-28 13:16:17,"Android",107069,16238,"No picture/link","No","No"
"Thr coverage about me in the @nytimes and the @washingtonpost gas been so false and angry that the times actually apologized to its.....",2017,1,28,8,2017-01-28 13:08:42,"Android",80715,13892,"No picture/link","No","No"
"The failing @nytimes has been wrong about me from the very beginning. Said I would lose the primaries, then the general election. FAKE NEWS!",2017,1,28,8,2017-01-28 13:04:58,"Android",111196,21106,"No picture/link","Yes","No"
"I promise that our administration will ALWAYS have your back. We will ALWAYS be with you! https://t.co/D0aOWhOH4X",2017,1,27,18,2017-01-27 23:46:22,"iPhone",151203,29294,"Picture/link","Yes","No"
"Congratulations Secretary Mattis! https://t.co/mkuhbegzqS",2017,1,27,17,2017-01-27 22:00:47,"iPhone",113174,19314,"Picture/link","Yes","No"
"Statement on International Holocaust Remembrance Day: https://t.co/KjU0MOxCHk",2017,1,27,15,2017-01-27 20:20:15,"iPhone",58372,10838,"Picture/link","No","No"
".@VP Mike Pence will be speaking at today's #MarchForLife -- You have our full support! https://t.co/1jb53SEGV4",2017,1,27,11,2017-01-27 16:30:29,"iPhone",89406,16282,"Picture/link","Yes","Yes"
"The #MarchForLife is so important. To all of you marching --- you have my full support!",2017,1,27,11,2017-01-27 16:27:02,"iPhone",187677,46459,"No picture/link","Yes","Yes"
"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &amp; little help on the very weak border must change, NOW!",2017,1,27,8,2017-01-27 13:19:10,"Android",162676,31205,"No picture/link","Yes","No"
"Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3,000,000 votes were illegal. We must do better!",2017,1,27,8,2017-01-27 13:12:52,"Android",90017,17646,"No picture/link","Yes","No"
"Miami-Dade Mayor drops sanctuary policy. Right decision. Strong! https://t.co/MtPvaDC4jM",2017,1,26,18,2017-01-26 23:53:37,"iPhone",114415,25299,"Picture/link","Yes","No"
"Will be interviewed by @SeanHannity on @FoxNews at 10:00pm tonight. Enjoy!",2017,1,26,18,2017-01-26 23:45:28,"iPhone",74506,10807,"No picture/link","Yes","No"
"Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP, @SenateMajLdr, @SpeakerRyan. Th… https://t.co/ALSADGrwoe",2017,1,26,14,2017-01-26 19:21:17,"iPhone",73233,11423,"Picture/link","No","No"
"of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting.",2017,1,26,8,2017-01-26 13:55:03,"Android",117668,28695,"No picture/link","No","No"
"The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers...",2017,1,26,8,2017-01-26 13:51:46,"Android",108735,26447,"No picture/link","No","No"
"Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!",2017,1,26,6,2017-01-26 11:04:24,"Android",130574,28529,"No picture/link","Yes","No"
"Interview with David Muir of @ABC News in 10 minutes. Enjoy!",2017,1,25,21,2017-01-26 02:48:25,"Android",54490,6586,"No picture/link","Yes","No"
"""@romoabcnews: .@DavidMuir first @POTUS interview since taking office.  Tonight on @ABCWorldNews @ABC2020 tonight. https://t.co/I4Vz1mRdBK""",2017,1,25,21,2017-01-26 02:45:32,"Android",45298,6508,"Picture/link","No","No"
"As your President, I have no higher duty than to protect the lives of the American people. https://t.co/o7YNUNwb8f",2017,1,25,21,2017-01-26 02:14:56,"iPhone",154352,29463,"Picture/link","No","No"
"I will be interviewed by @DavidMuir tonight at 10 o'clock on @ABC. Will be my first interview from the White House.… https://t.co/4zuOrRdcoc",2017,1,25,17,2017-01-25 22:05:59,"iPhone",76723,12637,"Picture/link","No","No"
"I will be making my Supreme Court pick on Thursday of next week.Thank you!",2017,1,25,7,2017-01-25 12:17:01,"Android",134620,22177,"No picture/link","Yes","No"
"even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!",2017,1,25,7,2017-01-25 12:13:46,"Android",108953,19221,"No picture/link","Yes","No"
"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and....",2017,1,25,7,2017-01-25 12:10:01,"Android",132086,26443,"No picture/link","No","No"
"Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!",2017,1,24,21,2017-01-25 02:37:48,"Android",197791,55596,"No picture/link","Yes","No"
"If Chicago doesn't fix the horrible ""carnage"" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!",2017,1,24,21,2017-01-25 02:25:40,"Android",213321,57443,"No picture/link","Yes","No"
